"Run/Debug","Debug Android Application","Alt+Shift+A, D","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Task","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Run/Debug","Resume","F8","Debugging"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"File","Save All","Ctrl+Shift+S","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Task","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"MouseFeed","Last Action Invocation...","Ctrl+Shift+1","In Windows"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Task","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Views","Show View (Declaration)","Alt+Shift+Q, D","JavaScript View"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Task","Mark Task Read","Alt+Shift+R","In Tasks View"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Task","Show Tooltip Description","F4","In Tasks View"
"Navigate","Backward History","Alt+Left","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"File","Close All","Ctrl+Shift+W","In Windows"
"Task","New Local Task","Insert","In Tasks View"
"Task","New Subtask","Shift+Insert","In Tasks View"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"File","New","Ctrl+N","In Windows"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Navigate","Forward History","Alt+Right","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Run Android Application","Alt+Shift+A, R","In Windows"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"File","Rename","F2","In Windows"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Navigate","Next Page","Alt+F7","In Windows"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Task","Quick Outline","Ctrl+O","In Tasks Editor"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Task","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Window","Show System Menu","Alt+-","In Windows"
"File","Save","Ctrl+S","In Windows"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"File","Refresh","F5","In Windows"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Text Editing","Text End","Ctrl+End","Editing Text"
"View","Zoom Out","Ctrl+-","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Android Refactorings","Extract Android String","Alt+Shift+A, S","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Window","Quick Access","Ctrl+3","In Windows"
"Task","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Task","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Project","Build Clean","Ctrl+E","In Windows"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Views","Show View (Script Explorer)","Alt+Shift+Q, P","JavaScript View"
"File","Properties","Alt+Enter","In Windows"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Task","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"View","Zoom In","Ctrl+=","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Task","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Navigate","Next","Ctrl+.","In Windows"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Database Tools","Goto Matching Token","Ctrl+Shift+P","Editing SQL"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Text Editing","Line End","End","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Task","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Views","Show View ()","Alt+Shift+Q, J","JavaScript View"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Edit","Delete","Delete","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Navigate","Matching Bracket","Ctrl+Shift+P","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Project","Build All","Ctrl+B","In Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Views","Show View (Hierarchy)","Alt+Shift+Q, T","JavaScript View"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"File","Close All","Ctrl+Shift+F4","In Windows"
